Book	Chapter	# of words/chapter	Approx. reading time (mins)
Leviticus	13	1857	9
Leviticus	14	1713	9
Leviticus	15	919	5
Leviticus	16	1157	6
Leviticus	17	553	3
Leviticus	18	667	3
Leviticus	19	898	4
Leviticus	20	836	4
Leviticus	21	587	3
Leviticus	22	879	4
Leviticus	23	1222	6
Leviticus	24	551	3
Leviticus	25	1532	8
Leviticus	26	1247	6
Leviticus	27	956	5
Numbers	1	1333	7
Numbers	2	791	4
Numbers	3	1291	6
Numbers	4	1416	7
Numbers	5	898	4
Numbers	6	742	4
Numbers	7	1939	10
Numbers	8	656	3
Numbers	9	722	4
Numbers	10	891	4
Numbers	11	1056	5
Numbers	12	384	2
Numbers	13	741	4
Numbers	14	1181	6
Numbers	15	1068	5
Numbers	16	1341	7
Numbers	17	335	2
Numbers	18	1112	6
Numbers	19	683	3
Numbers	20	792	4
Numbers	21	931	5
Numbers	22	1201	6
Numbers	23	743	4
Numbers	24	659	3
Numbers	25	445	2
Numbers	26	1446	7
Numbers	27	610	3
Numbers	28	779	4
Numbers	29	954	5
Numbers	30	503	3
Numbers	31	1208	6
Numbers	32	1009	5
Numbers	33	928	5
Numbers	34	630	3
Numbers	35	965	5
Numbers	36	445	2
Deuteronomy	1	1262	6
Deuteronomy	2	1021	5
Deuteronomy	3	815	4
Deuteronomy	4	1503	8
Deuteronomy	5	921	5
Deuteronomy	6	643	3
Deuteronomy	7	843	4
Deuteronomy	8	566	3
Deuteronomy	9	963	5
Deuteronomy	10	604	3
Deuteronomy	11	950	5
Deuteronomy	12	1055	5
Deuteronomy	13	627	3
Deuteronomy	14	708	4
Deuteronomy	15	707	4
Deuteronomy	16	710	4
Deuteronomy	17	707	4
Deuteronomy	18	611	3
Deuteronomy	19	608	3
Deuteronomy	20	646	3
Deuteronomy	21	731	4
Deuteronomy	22	894	4
Deuteronomy	23	685	3
Deuteronomy	24	681	3
Deuteronomy	25	562	3
Deuteronomy	26	667	3
Deuteronomy	27	599	3
Deuteronomy	28	2075	10
Deuteronomy	29	851	4
Deuteronomy	30	665	3
Deuteronomy	31	1041	5
Deuteronomy	32	1306	7
Deuteronomy	33	805	4
Deuteronomy	34	320	2
Joshua	1	573	3
Joshua	2	768	4
Joshua	3	566	3
Joshua	4	707	4
Joshua	5	550	3
Joshua	6	904	5
Joshua	7	927	5
Joshua	8	1221	6
Joshua	9	800	4
Joshua	10	1393	7
Joshua	11	717	4
Joshua	12	486	2
Joshua	13	825	4
Joshua	14	485	2
Joshua	15	1032	5
Joshua	16	228	1
Joshua	17	660	3
Joshua	18	770	4
Joshua	19	887	4
Joshua	20	308	2
Joshua	21	1026	5
Joshua	22	1321	7
Joshua	23	574	3
Joshua	24	1044	5
Judges	1	962	5
Judges	2	692	3
Judges	3	842	4
Judges	4	761	4
Judges	5	755	4
Judges	6	1295	6
Judges	7	952	5
Judges	8	987	5
Judges	9	1667	8
Judges	10	473	2
Judges	11	1235	6
Judges	12	399	2
Judges	13	765	4
Judges	14	706	4
Judges	15	648	3
Judges	16	1110	6
Judges	17	385	2
Judges	18	1035	5
Judges	19	1102	6
Judges	20	1455	7
Judges	21	740	4
Ruth	1	649	3
Ruth	2	763	4
Ruth	3	541	3
Ruth	4	621	3
1 Samuel	1	782	4
